toIsContract_0,toIsContract_1,blockNumber,timestamp,value,gasLimit,gasPrice,gasUsed,isError
0,1,696075,1450191594,1.0,250000,52000000000.0,186382,0
1,0,696938,1450205675,5.31e+18,22050,50000000000.0,21000,0
0,1,697398,1450213858,0.0,90000,57661658451.0,90000,1
0,1,697266,1450211399,1.0,250000,52000000000.0,186446,0
1,0,696685,1450201892,1e+18,90000,50000000000.0,21000,0
0,1,696624,1450200952,1.0,250000,52000000000.0,186382,0
0,1,696635,1450201104,1.0,250000,52000000000.0,45589,0
1,0,696195,1450193587,1.02e+18,90000,50000000000.0,21000,0
0,1,697419,1450214339,0.0,90000,56024213625.0,90000,1
0,1,697404,1450213994,0.0,90000,57661658451.0,90000,1
0,1,697404,1450213994,0.0,90000,57661658451.0,90000,1
0,1,697412,1450214147,0.0,90000,56540427731.0,90000,1
1,0,697372,1450213321,2.03e+17,90000,50000000000.0,21000,0
0,1,697386,1450213556,0.0,150000,53064977957.0,74754,0
1,0,696222,1450193951,3.07e+18,21000,60000000000.0,21000,0
0,1,696931,1450205621,1.0,250000,52000000000.0,186446,0
0,1,697386,1450213556,0.0,150000,53064977957.0,74690,0
0,1,697414,1450214183,0.0,90000,56540427731.0,90000,1
0,1,696129,1450192479,1.0,250000,52000000000.0,186446,0
0,1,696273,1450194898,1.0,250000,52000000000.0,186318,0
0,1,697336,1450212671,1.0,250000,52000000000.0,186446,0
0,1,696228,1450194052,1.0,250000,52000000000.0,186446,0
1,0,696263,1450194700,1.1e+18,90000,50000000000.0,21000,0
0,1,697418,1450214330,0.0,90000,56540427731.0,90000,1
0,1,697407,1450214026,0.0,90000,57136937358.0,90000,1
0,1,697410,1450214119,0.0,90000,56540427731.0,90000,1
1,0,697316,1450212319,4.99e+17,21000,50000000000.0,21000,0
0,1,696066,1450191297,1.0,250000,52000000000.0,186318,0
0,1,696788,1450203601,1.0,250000,52000000000.0,186446,0
0,1,697386,1450213556,0.0,150000,53064977957.0,74754,0
0,1,696042,1450190793,1.0,250000,52000000000.0,36899,0
0,1,697399,1450213863,0.0,90000,57661658451.0,90000,1
0,1,697415,1450214254,0.0,90000,56540427731.0,90000,1
0,1,696066,1450191297,1.0,250000,52000000000.0,186382,0
1,0,696644,1450201253,1e+19,21000,66073600134.0,21000,0
1,0,697375,1450213399,1.12e+19,25000,50000000000.0,21000,0
0,1,696629,1450201018,1.0,250000,52000000000.0,45525,0
0,1,696249,1450194427,1.0,250000,52000000000.0,186446,0
0,1,697386,1450213556,0.0,150000,53064977957.0,74626,0
0,1,696454,1450198079,1.0,250000,52000000000.0,186382,0
1,0,697391,1450213762,2.65e+19,21000,71986792679.0,21000,0
1,0,697147,1450209218,3.77e+17,90000,50000000000.0,21000,0
0,1,696033,1450190613,1.0,250000,52000000000.0,186318,0
1,0,696232,1450194129,1.14e+18,90000,50000000000.0,21000,0
1,0,697372,1450213321,2.09e+18,90000,50000000000.0,21000,0
1,0,697390,1450213666,4.37e+17,90000,61578081924.0,21000,0
1,0,696276,1450194977,5.15e+18,21000,50000000000.0,21000,0
0,1,697322,1450212417,1.0,250000,52000000000.0,186446,0
0,1,697419,1450214339,0.0,90000,56540427731.0,90000,1
0,1,697244,1450210891,1.0,250000,52000000000.0,186446,0
1,0,696405,1450197288,3.53e+20,21000,500000000000.0,21000,0
0,1,696629,1450201018,1.0,250000,52000000000.0,186382,0
0,1,696379,1450196742,0.0,200000,50000000000.0,30357,0
1,0,696965,1450206127,4.95e+18,41000,50000000000.0,21000,0
0,1,696289,1450195116,1.0,250000,52000000000.0,121250,0
1,0,696788,1450203601,8.55e+18,90000,50000000000.0,21000,0
0,1,697374,1450213356,1.0,250000,52000000000.0,186446,0
1,0,697164,1450209385,1.06e+18,21000,60000000000.0,21000,0
1,0,697391,1450213762,2.82e+18,21000,71986792679.0,21000,0
0,1,697400,1450213885,0.0,90000,57661658451.0,90000,1
0,1,697382,1450213478,1.0,250000,52000000000.0,186382,0
1,0,697012,1450206848,3.85e+18,90000,50000000000.0,21000,0
0,1,696777,1450203258,1.0,250000,52000000000.0,186382,0
0,1,697368,1450213219,0.0,200000,50000000000.0,58930,0
0,1,697398,1450213858,0.0,90000,57661658451.0,90000,1
0,1,696246,1450194321,1.0,250000,52000000000.0,121250,0
1,0,696752,1450202888,8.61e+18,90000,50000000000.0,21000,0
0,1,696827,1450204170,1.0,250000,52000000000.0,120980,0
0,1,697420,1450214360,0.0,90000,56024213625.0,90000,1
0,1,697416,1450214304,0.0,90000,56540427731.0,90000,1
1,0,697403,1450213978,2.64e+18,25000,50000000000.0,21000,0
0,1,696463,1450198243,1.0,250000,52000000000.0,186382,0
1,0,696547,1450199718,1.84e+16,21000,50000000000.0,21000,0
0,1,697170,1450209470,1.0,250000,52000000000.0,186446,0
1,0,696309,1450195449,1e+18,90000,50000000000.0,21000,0
0,1,696628,1450201004,1.0,250000,52000000000.0,118603,0
0,1,696422,1450197619,1.0,250000,52000000000.0,186318,0
1,0,697184,1450209731,7.31e+18,21000,60000000000.0,21000,0
0,1,697418,1450214330,0.0,90000,56540427731.0,90000,1
1,0,696991,1450206556,3.09e+18,21000,60000000000.0,21000,0
0,1,696601,1450200559,1.0,250000,52000000000.0,186382,0
0,1,696132,1450192556,1.0,250000,52000000000.0,186446,0
0,1,696429,1450197717,1.0,250000,52000000000.0,186446,0
0,1,696136,1450192673,1.0,250000,52000000000.0,186382,0
0,1,697409,1450214113,0.0,90000,57136937358.0,90000,1
0,1,697080,1450208094,1.0,250000,52000000000.0,186446,0
0,1,697407,1450214026,0.0,90000,57136937358.0,90000,1
0,1,696628,1450201004,1.0,250000,52000000000.0,45525,0
0,1,696940,1450205689,1.0,250000,52000000000.0,186318,0
0,1,696184,1450193408,1.0,250000,52000000000.0,186382,0
0,1,696344,1450196143,1.0,250000,52000000000.0,186446,0
0,1,697407,1450214026,0.0,90000,57136937358.0,90000,1
1,0,697380,1450213449,1.64e+18,25000,50000000000.0,21000,0
0,1,696734,1450202592,1.0,250000,52000000000.0,186446,0
0,1,697301,1450212015,1.0,250000,52000000000.0,186446,0
0,1,696176,1450193251,1.0,250000,52000000000.0,186318,0
0,1,696488,1450198695,1.0,250000,52000000000.0,186382,0
1,0,696839,1450204331,3.05e+18,21000,60000000000.0,21000,0
1,0,696495,1450198836,1.04e+18,90000,50969766994.0,21000,0
0,1,697405,1450214020,0.0,90000,57661658451.0,90000,1
0,1,696619,1450200849,1.0,250000,52000000000.0,186382,0
0,1,697116,1450208621,1.0,250000,52000000000.0,186382,0
0,1,697399,1450213863,0.0,90000,57661658451.0,90000,1
0,1,696954,1450205937,1.0,250000,52000000000.0,186254,0
0,1,697400,1450213885,0.0,90000,57661658451.0,90000,1
0,1,696293,1450195208,1.0,250000,52000000000.0,186382,0
1,0,696422,1450197619,1.07e+16,21000,50000000000.0,21000,0
0,1,697234,1450210682,1.0,250000,52000000000.0,186446,0
