toIsContract_0,toIsContract_1,blockNumber,timestamp,value,gasLimit,gasPrice,gasUsed,isError
1,0,696617,1450200812,3.3e+18,90000,50000000000.0,21000,0
0,1,696199,1450193626,1.0,250000,52000000000.0,186446,0
1,0,697372,1450213321,2.47e+18,21000,50000000000.0,21000,0
0,1,696190,1450193531,1.0,250000,52000000000.0,186446,0
1,0,697158,1450209311,1.89e+18,90000,50000000000.0,21000,0
1,0,696193,1450193556,1.02e+18,90000,50000000000.0,21000,0
0,1,696693,1450201946,1.0,250000,52000000000.0,186254,0
1,0,697090,1450208298,1.55e+21,100000,50000000000.0,21000,0
0,1,697406,1450214024,0.0,90000,57136937358.0,90000,1
1,0,696720,1450202395,3.24e+18,21000,60000000000.0,21000,0
0,1,697410,1450214119,0.0,90000,56540427731.0,90000,1
1,0,696994,1450206588,3.43e+18,90000,50000000000.0,21000,0
0,1,696891,1450204944,1.0,250000,52000000000.0,186382,0
1,0,697326,1450212481,1.6e+18,21000,60000000000.0,21000,0
1,0,697380,1450213449,7.72e+17,25000,50000000000.0,21000,0
1,0,697377,1450213417,1.25e+18,25000,50000000000.0,21000,0
1,0,697163,1450209357,1.08e+19,90000,50000000000.0,21000,0
0,1,697387,1450213590,0.0,150000,53064977957.0,74754,0
1,0,696220,1450193915,9.12e+18,90000,50000000000.0,21000,0
1,0,697304,1450212138,1e+17,90000,50000000000.0,21000,0
0,1,697418,1450214330,0.0,90000,56540427731.0,90000,1
1,0,697390,1450213666,1.3e+18,21000,72586370105.0,21000,0
0,1,696065,1450191255,1.0,250000,52000000000.0,186446,0
1,0,697211,1450210226,1.18e+19,21000,60000000000.0,21000,0
1,0,696958,1450205979,1.32e+16,90000,50000000000.0,21000,0
0,1,696485,1450198656,1.0,250000,52000000000.0,186382,0
1,0,697187,1450209773,1.01e+19,21000,60000000000.0,21000,0
1,0,697376,1450213412,2.5e+18,25000,50000000000.0,21000,0
1,0,697383,1450213494,1.37e+19,25000,50000000000.0,21000,0
0,1,696636,1450201108,1.0,250000,52000000000.0,45525,0
0,1,696832,1450204214,1.0,250000,52000000000.0,186318,0
1,0,696457,1450198157,1.82e+18,21000,60000000000.0,21000,0
1,0,696222,1450193951,2.19e+20,22050,50000000000.0,21000,0
0,1,696632,1450201053,1.0,250000,52000000000.0,45525,0
0,1,696669,1450201676,0.0,300000,50000000000.0,208199,0
0,1,697421,1450214365,0.0,90000,56024213625.0,90000,1
1,0,696837,1450204307,2.54e+17,90000,50000000000.0,21000,0
1,0,697391,1450213762,1.03e+19,21000,71986792679.0,21000,0
0,1,696961,1450206074,0.0,200000,50000000000.0,58994,0
1,0,697171,1450209487,5.33e+18,22050,50000000000.0,21000,0
0,1,696926,1450205577,0.0,2500000,60000000000.0,206545,0
0,1,697401,1450213897,0.0,90000,57661658451.0,90000,1
0,1,696632,1450201053,1.0,250000,52000000000.0,45589,0
0,1,697412,1450214147,0.0,90000,56540427731.0,90000,1
0,1,697244,1450210891,1.0,250000,52000000000.0,186318,0
1,0,697394,1450213792,1.3e+18,21000,70081926594.0,21000,0
0,1,697421,1450214365,0.0,90000,56024213625.0,90000,1
0,1,696429,1450197717,1.0,250000,52000000000.0,186446,0
1,0,697390,1450213666,1.67e+17,25000,50000000000.0,21000,0
0,1,697409,1450214113,0.0,90000,57136937358.0,90000,1
1,0,696892,1450204963,1.04e+18,90000,50000000000.0,21000,0
